rank,gene,mean_instability_score,peak_pseudotime,primary_archetype
1,Birc5,0.1654,0.179,A2
2,Cenpf,0.1622,0.179,A2
3,Top2a,0.1604,0.179,A2
4,Ube2c,0.158,0.179,A2
5,Cdca3,0.1516,0.179,A2
6,Cenpa,0.1479,0.179,A2
7,Cdk1,0.1287,0.179,A2
8,2810417H13Rik,0.1287,0.179,A2
9,Ccnb2,0.1282,0.179,A2
10,Ccl7,0.1227,0.179,A2
11,Bex4,0.1211,0.02,A2
12,Bex1,0.1201,0.02,A2
13,Ccnb1,0.1166,0.179,A2
14,Cdc20,0.1156,0.179,A2
15,Mdk,0.1126,0.165,A2
16,Mki67,0.1125,0.179,A2
17,Spc24,0.1117,0.179,A2
18,Lgals3,0.1115,0.02,A2
19,Tm4sf1,0.1073,0.02,A2
20,Apoe,0.1059,0.15,A2
21,Prc1,0.1058,0.179,A2
22,Meg3,0.1047,0.02,A2
23,Nusap1,0.1045,0.179,A2
24,Ccna2,0.1034,0.179,A2
25,Hmmr,0.1023,0.179,A2
