regulator,weighted_score,mean_instability,enrichment_score,branch_specificity,peak_archetype,db_confidence,n_targets,enrichment_pval,top_targets
Nfkb1,1.4038,0.0086,-0.0,0.3327,A4,0.744,177,1.0,"Col1a1, Lcn2, Mmp14, Cxcl1, Fas, Ccl2, Mmp2, Junb"
Sp1,1.2666,0.0064,-0.0,0.3284,A4,0.736,247,1.0,"Col5a1, Col1a2, Col1a1, Nrp1, Acta2, Ccl2, Mmp2, Itga5"
Trp53,1.2055,0.0083,-0.0,0.3225,A4,0.811,157,1.0,"Thbs1, Thbs1, Tcf4, Fas, Edil3, Mmp2, Upp1, Upp1"
Jun,0.9029,0.0095,-0.0,0.3353,A4,0.73,110,1.0,"Col3a1, Mmp2, Itga5, Spp1, Fos, Cxcl1, Penk, Jun"
Stat3,0.7959,0.0111,-0.0,0.3354,A4,0.808,68,1.0,"Col1a1, Mmp2, Tcf4, Cav1, Cav1, Socs3, Twist1, Fos"
Rela,0.7927,0.0074,-0.0,0.3293,A4,0.777,107,1.0,"Col1a1, Mmp14, Fas, Ccl2, Upp1, Twist1, Hes1, Hes1"
Smad3,0.71,0.0195,-0.0,0.3276,A2,0.83,45,1.0,"Col1a2, Tagln, Acta2, Col1a2, Ccl2, Ctgf, Tagln, Angptl2"
Egr1,0.6193,0.0111,-0.0,0.3354,A4,0.757,65,1.0,"Mmp14, Thbs1, Ccl2, Fas, Icam1, Tgfbr2, Bnip3, Ptges"
Ctnnb1,0.551,0.0101,-0.0,0.3237,A4,0.789,58,1.0,"Tcf4, Ccl7, Wisp1, Bmp4, Twist1, Fas, Ptgs2, Mmp13"
Runx2,0.5438,0.0105,-0.0,0.3256,A4,0.795,48,1.0,"Col1a1, Col1a2, Thbs1, Spp1, Hes1, Mmp13, Spp1, Lgals3"
Ets1,0.5275,0.0124,-0.0,0.322,A4,0.791,51,1.0,"Tgfbr2, Ccl2, Zeb1, Bmp4, Spp1, Ctgf, Ccl2, Nr2f1"
Srf,0.4827,0.03,-0.0,0.3443,A2,0.789,18,1.0,"Mmp14, Mmp2, Tagln, Ctgf, Egr1, Acta2, Tgfb1i1, Actg2"
Ep300,0.4622,0.0114,-0.0,0.3283,A4,0.724,55,1.0,"Col1a2, Mmp2, Spp1, Fos, Cdkn1a, Ptgs2, Socs3, Ccnb2"
Yy1,0.3692,0.0149,-0.0,0.3372,A4,0.86,24,1.0,"Col1a1, Tcf4, Fos, Rgs16, Serpine1, Cdh1, Msx2, Trf"
Cebpb,0.3602,0.0124,-0.0,0.3355,A4,0.702,37,1.0,"Clu, Cyr61, Fos, Ptgs2, Mafb, Socs3, Serpine1, Fos"
