regulator,weighted_score,mean_instability,enrichment_score,branch_specificity,peak_archetype,db_confidence,n_targets,enrichment_pval,top_targets
Sp1,1.5781,0.0076,-0.0,0.0195,A2,0.736,247,1.0,"Slc2a1, Col1a2, Acta2, Myc, Cadm1, Slc2a1, Slc2a3, Apoe"
Nfkb1,1.4821,0.0092,-0.0,0.0277,A2,0.744,177,1.0,"Slc2a1, Vcam1, Myc, Myc, Upp1, Cdh1, Apoe, Vcam1"
Trp53,1.3631,0.0098,-0.0,0.0288,A2,0.811,157,1.0,"Krt19, Ccnb1, Upp1, Upp1, Thbs1, Thbs1, Birc5, Uhrf1"
Smad3,1.104,0.0289,-0.0,0.0588,A2,0.83,45,1.0,"Col1a2, Acta2, Tagln, Myc, Cdh1, Col1a2, Fbln5, Acta2"
Rela,0.8098,0.0083,-0.0,0.035,A2,0.777,107,1.0,"Cdkn2a, Myc, Upp1, Apoe, Vcam1, Serpine2, Col1a1, Myc"
Ctnnb1,0.7437,0.0138,-0.0,0.024,A2,0.789,58,1.0,"Slc2a1, Ccl7, Birc5, Fgfbp1, Myc, Cdh1, Ptgs2, Nanog"
Jun,0.6335,0.0064,-0.0,0.0118,A2,0.73,110,1.0,"Slc2a1, Cdkn2a, Spp1, Fos, Ptgs2, Fosl1, Serpine1, Spp1"
Sp3,0.5898,0.0087,-0.0,0.0246,A2,0.786,75,1.0,"Acta2, Ghr, Slc2a3, Col2a1, Ucp2, Ghr, Ptgs2, Nanog"
Runx2,0.5707,0.0105,-0.0,0.0583,A2,0.795,48,1.0,"Lgals3, Col1a2, Col2a1, Alpl, Spp1, Col1a1, Hes1, Thbs1"
Stat3,0.5493,0.0085,-0.0,0.0251,A2,0.808,68,1.0,"Myc, Cav1, Cav1, Col1a1, Fos, Myc, Klf4, Egr1"
Ep300,0.5322,0.013,-0.0,0.0531,A2,0.724,55,1.0,"Col1a2, Birc5, Col2a1, Ccnb2, Spp1, Fos, Txnip, Ptgs2"
Egr1,0.4831,0.0091,-0.0,0.0177,A1,0.757,65,1.0,"Thbs1, Bnip3, Birc5, Tk1, Ccl2, Id3, Gadd45b, Mmp14"
Tcf3,0.4598,0.0155,-0.0,0.0271,A2,0.803,36,1.0,"Acta2, Cdh1, Vcam1, Col2a1, Cdh1, Nanog, Id1, Cldn4"
Ets1,0.4493,0.011,-0.0,0.0152,A4,0.791,51,1.0,"Cdkn2a, Krt8, Spp1, Ccl2, Ctgf, Ptgs2, Fos, Ccl2"
Snai1,0.43,0.0173,-0.0,0.0273,A2,0.862,27,1.0,"Cdh1, Cdh1, Col2a1, Itgb4, Cldn3, Cdh1, Thbd, Ptgs2"
Myc,0.4103,0.0111,-0.0,0.0246,A2,0.77,44,1.0,"Myc, Cdh1, Cdkn2b, Ccnb1, Cdkn2a, Nfia, Timp3, Cav1"
Smad4,0.3882,0.0141,-0.0,0.0169,A2,0.864,33,1.0,"Cdh1, H19, Col2a1, Cdkn2b, Id2, Cldn3, Id3, Gadd45b"
Ppara,0.3791,0.0096,-0.0,0.0147,A2,0.821,40,1.0,"Cdkn2a, Ucp2, Serpine2, Spp1, Angptl4, Serpine1, Lpl, Cebpb"
Sox2,0.3742,0.0152,-0.0,0.0019,A2,0.783,24,1.0,"Birc5, Utf1, Cdkn1b, Fgf4, Fgf4, Nanog, Sox2, Utf1"
Tcf4,0.3526,0.0212,-0.0,0.0538,A2,0.85,19,1.0,"Acta2, Cdh1, Id2, Myc, Edn1, Id3, Ptgs2, Plaur"
