regulator,weighted_score,mean_instability,enrichment_score,branch_specificity,peak_archetype,db_confidence,n_targets,enrichment_pval,top_targets
Nfkb1,3.2224,0.0198,-0.0,0.0175,A5,0.744,177,1.0,"Ptgs2, Ptgs2, Myc, Myc, Ccl2, Vcam1, Mmp14, Col1a1"
Trp53,2.9201,0.0204,-0.0,0.0295,A2,0.811,157,1.0,"Ptgs2, Tcf4, Thbs1, Thbs1, Trp53inp1, Cdkn1a, Cdkn1a, Myc"
Sp1,2.6878,0.0135,-0.0,0.0086,A2,0.736,247,1.0,"Ptgs2, Myc, Sod3, Ccl2, Cdkn1a, Nrp1, Ecm1, Mmp2"
Rela,2.297,0.0222,-0.0,0.025,A5,0.777,107,1.0,"Cdkn2a, Ptgs2, Myc, Serpine2, Ccl2, Mmp14, Col1a1, Ptgs2"
Jun,2.0388,0.022,-0.0,0.0427,A5,0.73,110,1.0,"Cdkn2a, Ptgs2, Spp1, Ptgs2, Serpine1, Mmp2, Fosl1, Ccl2"
Smad3,1.4166,0.0326,-0.0,0.0059,A4,0.83,45,1.0,"Cdkn2b, Myc, H19, Ccl2, Serpine1, Col1a2, Ctgf, Lgals9"
Stat3,1.4147,0.0224,-0.0,0.0143,A5,0.808,68,1.0,"Myc, Mmp2, Tcf4, Col1a1, Myc, Fos, Socs3, Ly6a"
Egr1,1.3845,0.0234,-0.0,0.0213,A2,0.757,65,1.0,"Id3, Ccl2, Thbs1, Mmp14, Serpine1, Bnip3, Icam1, F3"
Ets1,1.3741,0.0294,-0.0,0.0243,A5,0.791,51,1.0,"Cdkn2a, Ptgs2, Ccl2, Spp1, Bmp4, Ccl2, Tgfbr2, Zeb1"
Ppara,1.2634,0.0331,-0.0,0.0906,A5,0.821,40,1.0,"Cdkn2a, Serpine2, Angptl4, Spp1, Ptgs2, Serpine1, Il6st, Ucp2"
Ctnnb1,1.1796,0.0233,-0.0,0.0379,A5,0.789,58,1.0,"Ptgs2, Tcf4, Ptgs2, Wisp1, Myc, Bmp4, Ccl7, Grem2"
Myc,1.1319,0.0272,-0.0,0.0328,A2,0.77,44,1.0,"Cdkn2b, Myc, Pdgfrb, Cdkn2a, Cdkn1a, Nfia, Ndrg1, Snai1"
Ep300,1.1263,0.0273,-0.0,0.0279,A2,0.724,55,1.0,"Ptgs2, Spp1, Ptgs2, Cdkn1a, Mmp2, Txnip, Fos, Col1a2"
Cebpb,1.0248,0.0322,-0.0,0.1003,A5,0.702,37,1.0,"Ptgs2, Myc, Ptgs2, Serpine1, Fos, Cdkn1a, Clu, Fos"
Bmi1,0.9762,0.0764,-0.0,0.0646,A5,0.812,12,1.0,"Cdkn2a, Cdkn2a, Cdkn2a, Cdkn1a, Cdkn1a, Pmaip1, Cdk1, Nanog"
